date,vehicle_model,defect_category,plant_line,production_volume,defect_count,warranty_claims,customer_complaints,severity_score,defect_rate
2023-01-01,Class 8 Truck,Engine,Line A,877,26,17,142,1.0,2.965
2023-01-01,Class 8 Truck,Engine,Line B,732,25,12,119,2.0,3.415
2023-01-01,Class 8 Truck,Engine,Line C,929,34,19,192,3.0,3.66
2023-01-01,Class 8 Truck,Transmission,Line A,772,25,9,134,3.0,3.238
2023-01-01,Class 8 Truck,Transmission,Line B,833,23,18,109,3.0,2.761
2023-01-01,Class 8 Truck,Transmission,Line C,818,26,16,135,3.0,3.178
2023-01-01,Class 8 Truck,Brakes,Line A,1042,19,8,78,3.0,1.823
2023-01-01,Class 8 Truck,Brakes,Line B,951,18,6,73,3.0,1.893
2023-01-01,Class 8 Truck,Brakes,Line C,916,18,7,91,2.0,1.965
2023-01-01,Class 8 Truck,Electrical,Line A,869,21,12,112,2.0,2.417
2023-01-01,Class 8 Truck,Electrical,Line B,876,21,5,94,2.0,2.397
2023-01-01,Class 8 Truck,Electrical,Line C,792,17,14,69,3.0,2.146
2023-01-01,Class 8 Truck,Body/Frame,Line A,698,10,5,52,3.0,1.433
2023-01-01,Class 8 Truck,Body/Frame,Line B,921,13,5,71,2.0,1.412
2023-01-01,Class 8 Truck,Body/Frame,Line C,735,9,2,48,2.0,1.224
2023-01-01,Class 8 Truck,HVAC,Line A,912,10,5,53,2.0,1.096
2023-01-01,Class 8 Truck,HVAC,Line B,891,9,4,42,1.0,1.01
2023-01-01,Class 8 Truck,HVAC,Line C,893,10,5,50,3.0,1.12
2023-01-01,Class 8 Truck,Suspension,Line A,909,15,6,71,1.0,1.65
2023-01-01,Class 8 Truck,Suspension,Line B,719,10,3,52,2.0,1.391
2023-01-01,Class 8 Truck,Suspension,Line C,815,16,7,85,2.0,1.963
2023-01-01,Electric Van,Engine,Line A,831,22,10,121,2.0,2.647
2023-01-01,Electric Van,Engine,Line B,889,28,12,103,3.0,3.15
2023-01-01,Electric Van,Engine,Line C,802,25,13,150,3.0,3.117
2023-01-01,Electric Van,Transmission,Line A,757,21,12,124,4.0,2.774
2023-01-01,Electric Van,Transmission,Line B,882,29,9,123,2.0,3.288
2023-01-01,Electric Van,Transmission,Line C,814,19,12,86,2.0,2.334
2023-01-01,Electric Van,Brakes,Line A,758,13,9,85,5.0,1.715
2023-01-01,Electric Van,Brakes,Line B,887,13,0,67,2.0,1.466
2023-01-01,Electric Van,Brakes,Line C,812,13,6,72,2.0,1.601
2023-01-01,Electric Van,Electrical,Line A,835,15,2,64,2.0,1.796
2023-01-01,Electric Van,Electrical,Line B,1009,20,14,90,1.0,1.982
2023-01-01,Electric Van,Electrical,Line C,763,14,14,57,3.0,1.835
2023-01-01,Electric Van,Body/Frame,Line A,768,11,7,53,2.0,1.432
2023-01-01,Electric Van,Body/Frame,Line B,791,11,4,42,1.0,1.391
2023-01-01,Electric Van,Body/Frame,Line C,865,14,8,64,3.0,1.618
2023-01-01,Electric Van,HVAC,Line A,967,10,4,59,3.0,1.034
